id,spcode,family,treatment,20150831,20150919,20151004,20151017,20151031,20151115,20151124
100,pq,nonlegume,ambientrain_nutrients,9,12,13,14,17,17.5,18
105,gs,Legume,ambientrain,12.5,14.5,18,18.5,19,19,19
106,gs,Legume,ambientrain,13,13.5,14.5,15,17,17,17
107,gs,Legume,ambientrain,20,22,24.5,24.5,26,26,26
108,gs,Legume,ambientrain,19,19,19.5,20,20,20,20
109,gs,Legume,ambientrain_water_nutrients,17.5,22,28.5,29.5,30.5,30.5,30.5
110,gs,Legume,ambientrain_water_nutrients,17.5,21,25,26.5,31.5,32,32
111,gs,Legume,ambientrain_water_nutrients,16.5,19,25.5,26,27.5,28,28
112,gs,Legume,ambientrain_water_nutrients,14.5,18,25,26.5,30,30,30
113,gs,Legume,ambientrain_water,15.5,19.5,24,25.5,28.5,28.5,28.5
114,gs,Legume,ambientrain_water,16,17.5,20.5,22,23.5,24,24
115,gs,Legume,ambientrain_water,15.5,18,22,22,22,22,22.5
116,gs,Legume,ambientrain_water,10.5,12,14.5,15,16,16,16
117,gs,Legume,ambientrain_nutrients,12.5,15,17,19.5,25,25,25
118,gs,Legume,ambientrain_nutrients,17.5,21,26,26.5,28.5,28.5,28.5
119,gs,Legume,ambientrain_nutrients,13.5,16,19,20,22.5,23,23
120,gs,Legume,ambientrain_nutrients,21,23,27.5,28.5,34,34,34.5
125,dr,Legume,ambientrain,9.5,11.5,13,14,16.5,16.5,17
126,dr,Legume,ambientrain,11.5,16.5,21,24.5,25,25,25
127,dr,Legume,ambientrain,11,19,28,29.5,35.5,36.5,38
128,dr,Legume,ambientrain,11,15,17,21,30,30.5,32
129,dr,Legume,ambientrain_water_nutrients,11,18.5,29.5,31.5,39,39,39
130,dr,Legume,ambientrain_water_nutrients,8.5,16,23,23,31,32,32.5
131,dr,Legume,ambientrain_water_nutrients,10,21,28.5,32,39.5,39.5,39.5
132,dr,Legume,ambientrain_water_nutrients,12.5,19.5,27,32.5,41,41,42.5
133,dr,Legume,ambientrain_water,10,15,22,22,26,26,26
134,dr,Legume,ambientrain_water,7,12,16,17,23,24,24
135,dr,Legume,ambientrain_water,9,16.5,20.5,21.5,26.5,26.5,26.5
136,dr,Legume,ambientrain_water,9.5,14,19.5,20.5,27,27,27
137,dr,Legume,ambientrain_nutrients,10.5,26.5,30,31.5,32,32.5,32.5
138,dr,Legume,ambientrain_nutrients,8.5,17.5,26,26.5,28,28,28.5
139,dr,Legume,ambientrain_nutrients,11,19.5,24,25.5,34,35,41
140,dr,Legume,ambientrain_nutrients,9.5,20,28,28.5,34.5,36,39
145,to,nonlegume,ambientrain,5,7.5,7.5,7.5,8,8,8
146,to,nonlegume,ambientrain,6,7,7,7,7,7,7
147,to,nonlegume,ambientrain,5,6.5,6.5,7,7,7,7
148,to,nonlegume,ambientrain,3,5,6,6,6,6,6
149,to,nonlegume,ambientrain_water_nutrients,5,8,9.5,9.5,9.5,9.5,9.5
150,to,nonlegume,ambientrain_water_nutrients,6,7.5,8,8,8.5,9,9
151,to,nonlegume,ambientrain_water_nutrients,4.5,6.5,7.5,8,8,8,8
152,to,nonlegume,ambientrain_water_nutrients,6,7.5,8.5,8.5,9.5,9.5,9.5
153,to,nonlegume,ambientrain_water,7.5,9,9,9,9,9,9
154,to,nonlegume,ambientrain_water,6,7,7,7.5,8,8,8
155,to,nonlegume,ambientrain_water,6,6.5,6.5,6.5,7,7,7
156,to,nonlegume,ambientrain_water,4.5,6.5,7.5,8,8,8,8
157,to,nonlegume,ambientrain_nutrients,4.5,6.5,6.5,6.5,7,7,7
158,to,nonlegume,ambientrain_nutrients,5,8.5,9,9,9,9,9
159,to,nonlegume,ambientrain_nutrients,4.5,7.5,8.5,9,9,9,9
160,to,nonlegume,ambientrain_nutrients,5,8,11.5,11.5,11.5,11.5,11.5
