id,spcode,family,Treatment,perc_c,perc_n,ratio_c_n,d13C,d15N
144,to,nonlegume,Harvestatthebeginning,45.52591434,2.985646426,15.24826046,-29.38857576,4.194009701
145,to,nonlegume,ambientrain,45.34657464,1.672260672,27.11692944,-30.30895539,1.053869677
146,to,nonlegume,ambientrain,45.84969033,1.700226226,26.9668175,-29.24035615,1.605809654
147,to,nonlegume,ambientrain,45.04307303,1.552766262,29.00827648,-29.87585956,0.984054004
148,to,nonlegume,ambientrain,46.32710771,1.925363297,24.06148895,-31.08703623,1.314960907
149,to,nonlegume,ambientrain_water_nutrients,45.54737475,1.748428382,26.05046636,-30.79402053,-2.775349333
150,to,nonlegume,ambientrain_water_nutrients,45.48947081,1.878930769,24.21029638,-29.98288321,-1.724734882
151,to,nonlegume,ambientrain_water_nutrients,45.45139551,1.62524471,27.96587814,-30.2041023,-1.850441591
152,to,nonlegume,ambientrain_water_nutrients,46.19113232,2.083641403,22.16846538,-29.98980237,-1.251053994
154,to,nonlegume,ambientrain_water,45.07048656,1.626255308,27.71427484,-30.60711376,0.185206304
155,to,nonlegume,ambientrain_water,44.34282531,1.874460486,23.65631372,-30.30489205,1.300173207
156,to,nonlegume,ambientrain_water,46.46317547,1.75212624,26.51816657,-29.18805695,2.607989878
157,to,nonlegume,ambientrain_nutrients,45.49423964,2.189451594,20.77882871,-30.50391787,-1.747345423
158,to,nonlegume,ambientrain_nutrients,46.15147821,2.341028122,19.71419214,-29.4295436,0.760426167
159,to,nonlegume,ambientrain_nutrients,45.86855411,1.957258444,23.43510345,-29.76383552,-1.576858481
160,to,nonlegume,ambientrain_nutrients,46.43211269,1.802197152,25.76416938,-29.0473801,2.131056873
