id,spcode,family,Treatment,perc_c,perc_n
132,dr,Legume,ambientrain_water_nutrients,46.7050667,2.287416025
133,dr,Legume,ambientrain_water,47.21705963,2.157632307
134,dr,Legume,ambientrain_water,47.43498676,2.047332823
135,dr,Legume,ambientrain_water,46.53121837,2.018831406
136,dr,Legume,ambientrain_water,46.65820416,1.895575021
137,dr,Legume,ambientrain_nutrients,46.63964448,2.443818182
138,dr,Legume,ambientrain_nutrients,47.8589178,2.715151814
139,dr,Legume,ambientrain_nutrients,47.87145531,3.075703521
140,dr,Legume,ambientrain_nutrients,47.12840729,2.321932006
145,to,nonlegume,ambientrain,45.34657464,1.672260672
146,to,nonlegume,ambientrain,45.84969033,1.700226226
147,to,nonlegume,ambientrain,45.04307303,1.552766262
148,to,nonlegume,ambientrain,46.32710771,1.925363297
149,to,nonlegume,ambientrain_water_nutrients,45.54737475,1.748428382
150,to,nonlegume,ambientrain_water_nutrients,45.48947081,1.878930769
151,to,nonlegume,ambientrain_water_nutrients,45.45139551,1.62524471
152,to,nonlegume,ambientrain_water_nutrients,46.19113232,2.083641403
154,to,nonlegume,ambientrain_water,45.07048656,1.626255308
155,to,nonlegume,ambientrain_water,44.34282531,1.874460486
156,to,nonlegume,ambientrain_water,46.46317547,1.75212624
157,to,nonlegume,ambientrain_nutrients,45.49423964,2.189451594
158,to,nonlegume,ambientrain_nutrients,46.15147821,2.341028122
159,to,nonlegume,ambientrain_nutrients,45.86855411,1.957258444
160,to,nonlegume,ambientrain_nutrients,46.43211269,1.802197152
